BaseModelTime,Instance,RunId,SavileRowClauseOut,SavileRowTimeOut,SavileRowTotalTime,Seed,SolverFileHash,SolverNodes,SolverSatisfiable,SolverTimeOut,SolverSolveTime,Streamliner,backjumps,baseMem,boolVariables,failures,initTime,intVars,nogoods,objective,peakDepth,peakMem,propagations,propagators,randomSeed,restarts,solveTime,time,trailMem,variables,SavileRowMemOut
300.0,c423cf3b1e4921b4da834afef92c4de4.param,0.0,0.0,0.0,1.3230000000000002,1607214242.0,8689d66b773d71587da0f28ce36e9a65,175911.0,1.0,0.0,33.811,Original,6119.0,0.0,6939.0,159716.0,0.022000000000000002,682.0,159716.0,-1.0,51.0,0.0,4460306.0,116.0,1607214242.0,382.0,33.732,33.754,0.02,7623.0,False
300.0,c423cf3b1e4921b4da834afef92c4de4.param,1.0,0.0,0.0,0.602,1607214242.0,8689d66b773d71587da0f28ce36e9a65,175911.0,1.0,0.0,34.383,Original,6119.0,0.0,6939.0,159716.0,0.033,682.0,159716.0,-1.0,51.0,0.0,4460306.0,116.0,1607214242.0,382.0,34.286,34.319,0.02,7623.0,False
300.0,c423cf3b1e4921b4da834afef92c4de4.param,2.0,0.0,0.0,0.615,1607214242.0,8689d66b773d71587da0f28ce36e9a65,175911.0,1.0,0.0,33.529,Original,6119.0,0.0,6939.0,159716.0,0.02,682.0,159716.0,-1.0,51.0,0.0,4460306.0,116.0,1607214242.0,382.0,33.458,33.478,0.02,7623.0,False
300.0,f8d0eb195954db46f0ef280bd1720ae5.param,0.0,0.0,0.0,1.389,925836541.0,0eba793104b29461f5e31d967d0913bd,183789.0,1.0,0.0,35.114000000000004,Original,7803.0,0.0,6235.0,166717.0,0.02,696.0,166717.0,-1.0,56.0,0.0,4718951.0,164.0,925836541.0,386.0,35.044000000000004,35.064,0.04,6933.0,False
300.0,f8d0eb195954db46f0ef280bd1720ae5.param,1.0,0.0,0.0,0.765,925836541.0,0eba793104b29461f5e31d967d0913bd,183789.0,1.0,0.0,36.102,Original,7803.0,0.0,6235.0,166717.0,0.02,696.0,166717.0,-1.0,56.0,0.0,4718951.0,164.0,925836541.0,386.0,36.032,36.052,0.04,6933.0,False
300.0,f8d0eb195954db46f0ef280bd1720ae5.param,2.0,0.0,0.0,0.732,925836541.0,0eba793104b29461f5e31d967d0913bd,183789.0,1.0,0.0,36.347,Original,7803.0,0.0,6235.0,166717.0,0.02,696.0,166717.0,-1.0,56.0,0.0,4718951.0,164.0,925836541.0,386.0,36.275999999999996,36.296,0.04,6933.0,False
300.0,f016aa1df174cc6436a8d2977ba0d952.param,0.0,0.0,0.0,1.159,1607214242.0,066bb6685d92eb3f0a55f74c1c754683,387871.0,1.0,0.0,38.992,Original,21513.0,0.0,2537.0,344073.0,0.015,274.0,344073.0,-1.0,38.0,0.0,6000200.0,26.0,1607214242.0,758.0,38.92,38.935,0.01,2813.0,False
300.0,f016aa1df174cc6436a8d2977ba0d952.param,1.0,0.0,0.0,0.35,1607214242.0,066bb6685d92eb3f0a55f74c1c754683,387871.0,1.0,0.0,39.81800000000001,Original,21513.0,0.0,2537.0,344073.0,0.008,274.0,344073.0,-1.0,38.0,0.0,6000200.0,26.0,1607214242.0,758.0,39.758,39.766,0.01,2813.0,False
300.0,f016aa1df174cc6436a8d2977ba0d952.param,2.0,0.0,0.0,0.336,1607214242.0,066bb6685d92eb3f0a55f74c1c754683,387871.0,1.0,0.0,40.297,Original,21513.0,0.0,2537.0,344073.0,0.008,274.0,344073.0,-1.0,38.0,0.0,6000200.0,26.0,1607214242.0,758.0,40.238,40.246,0.01,2813.0,False
300.0,0ddc726bf9b67381801bd37c3e61c121.param,0.0,0.0,0.0,1.057,1855041826.0,7312bfd4599b5f863eec5c87c2f0475a,325457.0,1.0,0.0,42.99800000000001,Original,11312.0,0.0,3295.0,306185.0,0.017,292.0,306185.0,-1.0,29.0,0.0,4821318.0,53.0,1855041826.0,639.0,42.902,42.919,0.01,3589.0,False
300.0,0ddc726bf9b67381801bd37c3e61c121.param,1.0,0.0,0.0,0.344,1855041826.0,7312bfd4599b5f863eec5c87c2f0475a,325457.0,1.0,0.0,41.626999999999995,Original,11312.0,0.0,3295.0,306185.0,0.017,292.0,306185.0,-1.0,29.0,0.0,4821318.0,53.0,1855041826.0,639.0,41.556999999999995,41.574,0.01,3589.0,False
300.0,0ddc726bf9b67381801bd37c3e61c121.param,2.0,0.0,0.0,0.33399999999999996,1855041826.0,7312bfd4599b5f863eec5c87c2f0475a,325457.0,1.0,0.0,41.215,Original,11312.0,0.0,3295.0,306185.0,0.009000000000000001,292.0,306185.0,-1.0,29.0,0.0,4821318.0,53.0,1855041826.0,639.0,41.155,41.163999999999994,0.01,3589.0,False
300.0,7b87a4dedce14cdcbae9e9b8f4a9f91e.param,0.0,0.0,0.0,1.501,1891751401.0,26971d0156d05fdcc0734353e0b02e74,833584.0,1.0,0.0,41.542,Original,123658.0,0.0,5218.0,672802.0,0.018000000000000002,674.0,672802.0,-1.0,80.0,0.0,15319608.0,149.0,1891751401.0,1279.0,41.464,41.482,0.02,5894.0,False
300.0,7b87a4dedce14cdcbae9e9b8f4a9f91e.param,1.0,0.0,0.0,0.794,1891751401.0,26971d0156d05fdcc0734353e0b02e74,833584.0,1.0,0.0,42.217,Original,123658.0,0.0,5218.0,672802.0,0.019,674.0,672802.0,-1.0,80.0,0.0,15319608.0,149.0,1891751401.0,1279.0,42.15,42.169,0.02,5894.0,False
300.0,7b87a4dedce14cdcbae9e9b8f4a9f91e.param,2.0,0.0,0.0,0.8590000000000001,1891751401.0,26971d0156d05fdcc0734353e0b02e74,833584.0,1.0,0.0,41.717,Original,123658.0,0.0,5218.0,672802.0,0.018000000000000002,674.0,672802.0,-1.0,80.0,0.0,15319608.0,149.0,1891751401.0,1279.0,41.648999999999994,41.667,0.02,5894.0,False
300.0,cb6d5124e0f327b04fb2a9032c970025.param,0.0,0.0,0.0,1.081,388100837.0,7f1c18dd48c8a4c9bbaccaeedef66f98,384906.0,1.0,0.0,44.448,Original,36324.0,0.0,2866.0,339475.0,0.016,308.0,339475.0,-1.0,33.0,0.0,6781933.0,52.0,388100837.0,738.0,44.358999999999995,44.375,0.01,3176.0,False
300.0,cb6d5124e0f327b04fb2a9032c970025.param,1.0,0.0,0.0,0.384,388100837.0,7f1c18dd48c8a4c9bbaccaeedef66f98,384906.0,1.0,0.0,42.394,Original,36324.0,0.0,2866.0,339475.0,0.009000000000000001,308.0,339475.0,-1.0,33.0,0.0,6781933.0,52.0,388100837.0,738.0,42.325,42.333999999999996,0.01,3176.0,False
300.0,cb6d5124e0f327b04fb2a9032c970025.param,2.0,0.0,0.0,0.38,388100837.0,7f1c18dd48c8a4c9bbaccaeedef66f98,384906.0,1.0,0.0,43.235,Original,36324.0,0.0,2866.0,339475.0,0.009000000000000001,308.0,339475.0,-1.0,33.0,0.0,6781933.0,52.0,388100837.0,738.0,43.174,43.183,0.01,3176.0,False
300.0,1edf557f34df5d0c553e4632b24cb0d3.param,0.0,0.0,0.0,0.945,1965498196.0,6067cfbbf1c6ca3588b2cb2a838178ec,730187.0,1.0,0.0,46.141999999999996,Original,69125.0,0.0,1934.0,646812.0,0.012,254.0,646812.0,-1.0,33.0,0.0,8523326.0,29.0,1965498196.0,1251.0,46.011,46.023,0.01,2190.0,False
300.0,1edf557f34df5d0c553e4632b24cb0d3.param,1.0,0.0,0.0,0.293,1965498196.0,6067cfbbf1c6ca3588b2cb2a838178ec,730187.0,1.0,0.0,44.471000000000004,Original,69125.0,0.0,1934.0,646812.0,0.006999999999999999,254.0,646812.0,-1.0,33.0,0.0,8523326.0,29.0,1965498196.0,1251.0,44.415,44.422,0.01,2190.0,False
300.0,1edf557f34df5d0c553e4632b24cb0d3.param,2.0,0.0,0.0,0.289,1965498196.0,6067cfbbf1c6ca3588b2cb2a838178ec,730187.0,1.0,0.0,45.71100000000001,Original,69125.0,0.0,1934.0,646812.0,0.006999999999999999,254.0,646812.0,-1.0,33.0,0.0,8523326.0,29.0,1965498196.0,1251.0,45.657,45.663999999999994,0.01,2190.0,False
300.0,9c693a641da19e5fdaee3914e8be222c.param,0.0,0.0,0.0,1.6019999999999999,1320003510.0,091be7352c8975f66f1de97e22420387,209806.0,1.0,0.0,48.006,Original,6809.0,0.0,9390.0,186793.0,0.03,979.0,186793.0,-1.0,57.0,0.0,5882577.0,181.0,1320003510.0,447.0,47.918,47.948,0.04,10371.0,False
300.0,9c693a641da19e5fdaee3914e8be222c.param,1.0,0.0,0.0,0.815,1320003510.0,091be7352c8975f66f1de97e22420387,209806.0,1.0,0.0,47.066,Original,6809.0,0.0,9390.0,186793.0,0.028999999999999998,979.0,186793.0,-1.0,57.0,0.0,5882577.0,181.0,1320003510.0,447.0,46.982,47.011,0.04,10371.0,False
300.0,9c693a641da19e5fdaee3914e8be222c.param,2.0,0.0,0.0,0.8270000000000001,1320003510.0,091be7352c8975f66f1de97e22420387,209806.0,1.0,0.0,48.361999999999995,Original,6809.0,0.0,9390.0,186793.0,0.028999999999999998,979.0,186793.0,-1.0,57.0,0.0,5882577.0,181.0,1320003510.0,447.0,48.277,48.306000000000004,0.04,10371.0,False
300.0,4974163beed777eb038a9cc229465590.param,0.0,0.0,0.0,1.931,980725521.0,9e172033ee2dd66bfd353b531b805824,432004.0,1.0,0.0,52.048,Original,38069.0,0.0,6782.0,374976.0,0.023,794.0,374976.0,-1.0,58.0,0.0,17005342.0,334.0,980725521.0,783.0,51.972,51.995,0.02,7578.0,False
300.0,4974163beed777eb038a9cc229465590.param,1.0,0.0,0.0,1.305,980725521.0,9e172033ee2dd66bfd353b531b805824,432004.0,1.0,0.0,52.813,Original,38069.0,0.0,6782.0,374976.0,0.023,794.0,374976.0,-1.0,58.0,0.0,17005342.0,334.0,980725521.0,783.0,52.739,52.762,0.02,7578.0,False
300.0,4974163beed777eb038a9cc229465590.param,2.0,0.0,0.0,1.276,980725521.0,9e172033ee2dd66bfd353b531b805824,432004.0,1.0,0.0,51.333,Original,38069.0,0.0,6782.0,374976.0,0.022000000000000002,794.0,374976.0,-1.0,58.0,0.0,17005342.0,334.0,980725521.0,783.0,51.261,51.283,0.02,7578.0,False
300.0,6002d8d3bf334b81633899a4a650b8d7.param,0.0,0.0,0.0,0.9179999999999999,1327675615.0,1f29dee67493f5e81f8b8f86c3e6869e,612908.0,1.0,0.0,61.468999999999994,Original,21302.0,0.0,1746.0,563601.0,0.011000000000000001,218.0,563601.0,-1.0,37.0,0.0,7568044.0,17.0,1327675615.0,1027.0,61.31100000000001,61.321999999999996,0.01,1966.0,False
300.0,6002d8d3bf334b81633899a4a650b8d7.param,1.0,0.0,0.0,0.293,1327675615.0,1f29dee67493f5e81f8b8f86c3e6869e,612908.0,1.0,0.0,63.098,Original,21302.0,0.0,1746.0,563601.0,0.006,218.0,563601.0,-1.0,37.0,0.0,7568044.0,17.0,1327675615.0,1027.0,63.044,63.05,0.01,1966.0,False
300.0,6002d8d3bf334b81633899a4a650b8d7.param,2.0,0.0,0.0,0.33399999999999996,1327675615.0,1f29dee67493f5e81f8b8f86c3e6869e,612908.0,1.0,0.0,63.758,Original,21302.0,0.0,1746.0,563601.0,0.006,218.0,563601.0,-1.0,37.0,0.0,7568044.0,17.0,1327675615.0,1027.0,63.706,63.711999999999996,0.01,1966.0,False
300.0,9bd90256e7597aab3460612fb2a50a0f.param,0.0,0.0,0.0,1.758,101414308.0,0a37fc528cf7d31a2750a340cdd52a46,1544650.0,1.0,0.0,63.251999999999995,Original,451555.0,0.0,7051.0,1025331.0,0.023,846.0,1025331.0,-1.0,95.0,0.0,37037360.0,219.0,101414308.0,2046.0,63.181000000000004,63.20399999999999,0.02,7899.0,False
300.0,9bd90256e7597aab3460612fb2a50a0f.param,1.0,0.0,0.0,1.172,101414308.0,0a37fc528cf7d31a2750a340cdd52a46,1544650.0,1.0,0.0,64.266,Original,451555.0,0.0,7051.0,1025331.0,0.024,846.0,1025331.0,-1.0,95.0,0.0,37037360.0,219.0,101414308.0,2046.0,64.192,64.21600000000001,0.02,7899.0,False
300.0,9bd90256e7597aab3460612fb2a50a0f.param,2.0,0.0,0.0,1.1440000000000001,101414308.0,0a37fc528cf7d31a2750a340cdd52a46,1544650.0,1.0,0.0,62.349,Original,451555.0,0.0,7051.0,1025331.0,0.024,846.0,1025331.0,-1.0,95.0,0.0,37037360.0,219.0,101414308.0,2046.0,62.278,62.302,0.02,7899.0,False
300.0,e2f7352bdc3ebf132814e0bcc277c233.param,0.0,0.0,0.0,1.008,230215370.0,fa6f8936ef3c8cf9ad60e2ed83974bda,658857.0,1.0,0.0,69.829,Original,47949.0,0.0,2376.0,584949.0,0.012,297.0,584949.0,-1.0,43.0,0.0,12442511.0,54.0,230215370.0,1087.0,69.685,69.697,0.01,2675.0,False
300.0,e2f7352bdc3ebf132814e0bcc277c233.param,1.0,0.0,0.0,0.4,230215370.0,fa6f8936ef3c8cf9ad60e2ed83974bda,658857.0,1.0,0.0,69.298,Original,47949.0,0.0,2376.0,584949.0,0.008,297.0,584949.0,-1.0,43.0,0.0,12442511.0,54.0,230215370.0,1087.0,69.24,69.248,0.01,2675.0,False
300.0,e2f7352bdc3ebf132814e0bcc277c233.param,2.0,0.0,0.0,0.4320000000000001,230215370.0,fa6f8936ef3c8cf9ad60e2ed83974bda,658857.0,1.0,0.0,68.562,Original,47949.0,0.0,2376.0,584949.0,0.008,297.0,584949.0,-1.0,43.0,0.0,12442511.0,54.0,230215370.0,1087.0,68.499,68.507,0.01,2675.0,False
300.0,ed3d1c037f08d2f6b900519f6ea44f93.param,0.0,0.0,0.0,1.156,78986094.0,a45e8dd80abdb71dc87663d2782e946d,798110.0,1.0,0.0,82.49,Original,47598.0,0.0,2213.0,715239.0,0.013999999999999999,279.0,715239.0,-1.0,41.0,0.0,13035108.0,42.0,78986094.0,1398.0,82.402,82.416,0.01,2494.0,False
300.0,ed3d1c037f08d2f6b900519f6ea44f93.param,1.0,0.0,0.0,0.461,78986094.0,a45e8dd80abdb71dc87663d2782e946d,798110.0,1.0,0.0,81.009,Original,47598.0,0.0,2213.0,715239.0,0.013999999999999999,279.0,715239.0,-1.0,41.0,0.0,13035108.0,42.0,78986094.0,1398.0,80.939,80.953,0.01,2494.0,False
300.0,ed3d1c037f08d2f6b900519f6ea44f93.param,2.0,0.0,0.0,0.491,78986094.0,a45e8dd80abdb71dc87663d2782e946d,798110.0,1.0,0.0,79.575,Original,47598.0,0.0,2213.0,715239.0,0.008,279.0,715239.0,-1.0,41.0,0.0,13035108.0,42.0,78986094.0,1398.0,79.518,79.52600000000002,0.01,2494.0,False
300.0,80b01d9b15d6a135cd05b1f787ebcd19.param,0.0,0.0,0.0,1.304,277159353.0,0bfeba947a75341c5d3104a9da4ad3c9,2089490.0,1.0,0.0,82.728,Original,631587.0,0.0,5342.0,1387435.0,0.031,572.0,1387435.0,-1.0,116.0,0.0,35064226.0,110.0,277159353.0,2430.0,82.641,82.67200000000003,0.02,5916.0,False
300.0,80b01d9b15d6a135cd05b1f787ebcd19.param,1.0,0.0,0.0,0.605,277159353.0,0bfeba947a75341c5d3104a9da4ad3c9,2089490.0,1.0,0.0,81.278,Original,631587.0,0.0,5342.0,1387435.0,0.016,572.0,1387435.0,-1.0,116.0,0.0,35064226.0,110.0,277159353.0,2430.0,81.214,81.23,0.02,5916.0,False
300.0,80b01d9b15d6a135cd05b1f787ebcd19.param,2.0,0.0,0.0,0.629,277159353.0,0bfeba947a75341c5d3104a9da4ad3c9,2089490.0,1.0,0.0,83.927,Original,631587.0,0.0,5342.0,1387435.0,0.017,572.0,1387435.0,-1.0,116.0,0.0,35064226.0,110.0,277159353.0,2430.0,83.859,83.876,0.02,5916.0,False
300.0,d24f808264ee39c959ba47cc6afaf66c.param,0.0,0.0,0.0,0.27699999999999997,779649811.0,ad677a0c0d06972f8948a7826af96b7b,434174.0,1.0,0.0,42.723,Original,26521.0,0.0,1655.0,396336.0,0.006,223.0,396336.0,-1.0,31.0,0.0,5079034.0,33.0,779649811.0,846.0,42.661,42.667,0.01,1880.0,False
300.0,d24f808264ee39c959ba47cc6afaf66c.param,1.0,0.0,0.0,0.275,779649811.0,ad677a0c0d06972f8948a7826af96b7b,434174.0,1.0,0.0,42.79,Original,26521.0,0.0,1655.0,396336.0,0.006,223.0,396336.0,-1.0,31.0,0.0,5079034.0,33.0,779649811.0,846.0,42.73,42.736000000000004,0.01,1880.0,False
300.0,d24f808264ee39c959ba47cc6afaf66c.param,2.0,0.0,0.0,0.27,779649811.0,ad677a0c0d06972f8948a7826af96b7b,434174.0,1.0,0.0,42.882,Original,26521.0,0.0,1655.0,396336.0,0.006,223.0,396336.0,-1.0,31.0,0.0,5079034.0,33.0,779649811.0,846.0,42.825,42.831,0.01,1880.0,False
300.0,6a519f050633eadb7959d07d59137f3c.param,0.0,0.0,0.0,1.1420000000000001,1100722462.0,ae72dc5ca4dfd53bd8b056dcd5c94675,968182.0,1.0,0.0,87.20100000000002,Original,44646.0,0.0,1674.0,881200.0,0.006,214.0,881200.0,-1.0,40.0,0.0,12672144.0,20.0,1100722462.0,1703.0,87.13799999999998,87.14399999999998,0.01,1890.0,False
300.0,6a519f050633eadb7959d07d59137f3c.param,1.0,0.0,0.0,0.336,1100722462.0,ae72dc5ca4dfd53bd8b056dcd5c94675,968182.0,1.0,0.0,93.24600000000001,Original,44646.0,0.0,1674.0,881200.0,0.006,214.0,881200.0,-1.0,40.0,0.0,12672144.0,20.0,1100722462.0,1703.0,93.18799999999999,93.194,0.01,1890.0,False
300.0,6a519f050633eadb7959d07d59137f3c.param,2.0,0.0,0.0,0.331,1100722462.0,ae72dc5ca4dfd53bd8b056dcd5c94675,968182.0,1.0,0.0,95.302,Original,44646.0,0.0,1674.0,881200.0,0.006,214.0,881200.0,-1.0,40.0,0.0,12672144.0,20.0,1100722462.0,1703.0,95.241,95.24700000000001,0.01,1890.0,False
300.0,b3adec954404eafdc8ff425bd6011553.param,0.0,0.0,0.0,0.27,1607933593.0,5435994f1b400e26600e6500c45d97ff,484218.0,1.0,0.0,47.045,Original,12928.0,0.0,1912.0,455265.0,0.006999999999999999,238.0,455265.0,-1.0,39.0,0.0,7318519.0,37.0,1607933593.0,998.0,46.992,46.998999999999995,0.01,2152.0,False
300.0,b3adec954404eafdc8ff425bd6011553.param,1.0,0.0,0.0,0.278,1607933593.0,5435994f1b400e26600e6500c45d97ff,484218.0,1.0,0.0,48.228,Original,12928.0,0.0,1912.0,455265.0,0.008,238.0,455265.0,-1.0,39.0,0.0,7318519.0,37.0,1607933593.0,998.0,48.172,48.18,0.01,2152.0,False
300.0,b3adec954404eafdc8ff425bd6011553.param,2.0,0.0,0.0,0.276,1607933593.0,5435994f1b400e26600e6500c45d97ff,484218.0,1.0,0.0,47.805,Original,12928.0,0.0,1912.0,455265.0,0.006999999999999999,238.0,455265.0,-1.0,39.0,0.0,7318519.0,37.0,1607933593.0,998.0,47.75100000000001,47.758,0.01,2152.0,False
300.0,a68a8221b3cf1503f661c3f0550f8242.param,0.0,0.0,0.0,0.353,1620541406.0,31c272717ad4c1ea57fda9c54e868264,450344.0,1.0,0.0,43.245,Original,24183.0,0.0,1975.0,403495.0,0.006999999999999999,244.0,403495.0,-1.0,42.0,0.0,6847117.0,35.0,1620541406.0,866.0,43.192,43.199,0.01,2221.0,False
300.0,a68a8221b3cf1503f661c3f0550f8242.param,1.0,0.0,0.0,0.345,1620541406.0,31c272717ad4c1ea57fda9c54e868264,450344.0,1.0,0.0,45.396,Original,24183.0,0.0,1975.0,403495.0,0.006999999999999999,244.0,403495.0,-1.0,42.0,0.0,6847117.0,35.0,1620541406.0,866.0,45.339,45.346000000000004,0.01,2221.0,False
300.0,a68a8221b3cf1503f661c3f0550f8242.param,2.0,0.0,0.0,0.36,1620541406.0,31c272717ad4c1ea57fda9c54e868264,450344.0,1.0,0.0,44.98,Original,24183.0,0.0,1975.0,403495.0,0.006999999999999999,244.0,403495.0,-1.0,42.0,0.0,6847117.0,35.0,1620541406.0,866.0,44.925,44.931999999999995,0.01,2221.0,False
300.0,7693d0621897a08695cc01e256c109aa.param,0.0,0.0,0.0,0.706,1607214242.0,2c8bb7da711521cbfd87518c540037c0,205351.0,1.0,0.0,39.225,Original,6905.0,0.0,8983.0,181507.0,0.027000000000000003,920.0,181507.0,-1.0,64.0,0.0,4626486.0,109.0,1607214242.0,439.0,39.14,39.167,0.02,9905.0,False
300.0,7693d0621897a08695cc01e256c109aa.param,1.0,0.0,0.0,0.6970000000000001,1607214242.0,2c8bb7da711521cbfd87518c540037c0,205351.0,1.0,0.0,40.864000000000004,Original,6905.0,0.0,8983.0,181507.0,0.027000000000000003,920.0,181507.0,-1.0,64.0,0.0,4626486.0,109.0,1607214242.0,439.0,40.773,40.8,0.02,9905.0,False
300.0,7693d0621897a08695cc01e256c109aa.param,2.0,0.0,0.0,0.765,1607214242.0,2c8bb7da711521cbfd87518c540037c0,205351.0,1.0,0.0,38.397,Original,6905.0,0.0,8983.0,181507.0,0.03,920.0,181507.0,-1.0,64.0,0.0,4626486.0,109.0,1607214242.0,439.0,38.308,38.338,0.02,9905.0,False
300.0,9c3349f0edcebf63cd7a079a3507eca0.param,0.0,0.0,0.0,0.244,1607933593.0,ddc452b80da987a0ef20df958e90e12d,770474.0,1.0,0.0,60.341,Original,16177.0,0.0,952.0,732038.0,0.004,130.0,732038.0,-1.0,24.0,0.0,8490023.0,13.0,1607933593.0,1422.0,60.294,60.298,0.0,1084.0,False
300.0,9c3349f0edcebf63cd7a079a3507eca0.param,1.0,0.0,0.0,0.212,1607933593.0,ddc452b80da987a0ef20df958e90e12d,770474.0,1.0,0.0,63.346000000000004,Original,16177.0,0.0,952.0,732038.0,0.004,130.0,732038.0,-1.0,24.0,0.0,8490023.0,13.0,1607933593.0,1422.0,63.29600000000001,63.3,0.0,1084.0,False
300.0,9c3349f0edcebf63cd7a079a3507eca0.param,2.0,0.0,0.0,0.214,1607933593.0,ddc452b80da987a0ef20df958e90e12d,770474.0,1.0,0.0,61.302,Original,16177.0,0.0,952.0,732038.0,0.004,130.0,732038.0,-1.0,24.0,0.0,8490023.0,13.0,1607933593.0,1422.0,61.254,61.258,0.0,1084.0,False
300.0,d55a8097190dac59419044e48b7191dc.param,0.0,0.0,0.0,0.695,1620541406.0,cc76aa9180e24b0c825104dfc2b03efc,316170.0,1.0,0.0,67.898,Original,11642.0,0.0,6433.0,285564.0,0.02,700.0,285564.0,-1.0,55.0,0.0,8025838.0,170.0,1620541406.0,606.0,67.828,67.848,0.02,7135.0,False
300.0,d55a8097190dac59419044e48b7191dc.param,1.0,0.0,0.0,0.682,1620541406.0,cc76aa9180e24b0c825104dfc2b03efc,316170.0,1.0,0.0,69.023,Original,11642.0,0.0,6433.0,285564.0,0.021,700.0,285564.0,-1.0,55.0,0.0,8025838.0,170.0,1620541406.0,606.0,68.949,68.97,0.02,7135.0,False
300.0,d55a8097190dac59419044e48b7191dc.param,2.0,0.0,0.0,0.711,1620541406.0,cc76aa9180e24b0c825104dfc2b03efc,316170.0,1.0,0.0,71.696,Original,11642.0,0.0,6433.0,285564.0,0.02,700.0,285564.0,-1.0,55.0,0.0,8025838.0,170.0,1620541406.0,606.0,71.62,71.64,0.02,7135.0,False
300.0,dc85c0fdaa288911481b39919a0b9e1d.param,0.0,0.0,0.0,0.414,1239644459.0,f4896543ff82a18e676c3e4da22b4b4b,882422.0,1.0,0.0,76.921,Original,46641.0,0.0,2486.0,810393.0,0.008,309.0,810393.0,-1.0,41.0,0.0,12441215.0,36.0,1239644459.0,1535.0,76.865,76.873,0.01,2797.0,False
300.0,dc85c0fdaa288911481b39919a0b9e1d.param,1.0,0.0,0.0,0.384,1239644459.0,f4896543ff82a18e676c3e4da22b4b4b,882422.0,1.0,0.0,76.192,Original,46641.0,0.0,2486.0,810393.0,0.008,309.0,810393.0,-1.0,41.0,0.0,12441215.0,36.0,1239644459.0,1535.0,76.133,76.141,0.01,2797.0,False
300.0,dc85c0fdaa288911481b39919a0b9e1d.param,2.0,0.0,0.0,0.409,1239644459.0,f4896543ff82a18e676c3e4da22b4b4b,882422.0,1.0,0.0,77.251,Original,46641.0,0.0,2486.0,810393.0,0.008,309.0,810393.0,-1.0,41.0,0.0,12441215.0,36.0,1239644459.0,1535.0,77.194,77.202,0.01,2797.0,False
300.0,8a6d5723fe45da7aadd7cbd9e105fd9a.param,0.0,0.0,0.0,0.71,2021626086.0,44c4d53c43c1688107f6f877a1f2c8ed,215222.0,1.0,0.0,51.263999999999996,Original,8449.0,0.0,7254.0,189301.0,0.023,787.0,189301.0,-1.0,70.0,0.0,4732438.0,150.0,2021626086.0,451.0,51.18899999999999,51.211999999999996,0.02,8043.0,False
300.0,8a6d5723fe45da7aadd7cbd9e105fd9a.param,1.0,0.0,0.0,0.713,2021626086.0,44c4d53c43c1688107f6f877a1f2c8ed,215222.0,1.0,0.0,51.657,Original,8449.0,0.0,7254.0,189301.0,0.023,787.0,189301.0,-1.0,70.0,0.0,4732438.0,150.0,2021626086.0,451.0,51.581,51.604,0.02,8043.0,False
300.0,8a6d5723fe45da7aadd7cbd9e105fd9a.param,2.0,0.0,0.0,0.765,2021626086.0,44c4d53c43c1688107f6f877a1f2c8ed,215222.0,1.0,0.0,53.574,Original,8449.0,0.0,7254.0,189301.0,0.023,787.0,189301.0,-1.0,70.0,0.0,4732438.0,150.0,2021626086.0,451.0,53.493,53.51600000000001,0.02,8043.0,False
300.0,8daed4e4e14435ccb3eeb5998db34490.param,0.0,0.0,0.0,0.22399999999999998,101414308.0,0d2ae59072ec55e15f760c8bed0adc52,695333.0,1.0,0.0,82.436,Original,23206.0,0.0,1398.0,655169.0,0.005,154.0,655169.0,-1.0,23.0,0.0,9662344.0,19.0,101414308.0,1278.0,82.383,82.38799999999998,0.0,1554.0,False
300.0,8daed4e4e14435ccb3eeb5998db34490.param,1.0,0.0,0.0,0.223,101414308.0,0d2ae59072ec55e15f760c8bed0adc52,695333.0,1.0,0.0,78.12,Original,23206.0,0.0,1398.0,655169.0,0.005,154.0,655169.0,-1.0,23.0,0.0,9662344.0,19.0,101414308.0,1278.0,78.063,78.068,0.0,1554.0,False
300.0,8daed4e4e14435ccb3eeb5998db34490.param,2.0,0.0,0.0,0.215,101414308.0,0d2ae59072ec55e15f760c8bed0adc52,695333.0,1.0,0.0,79.4,Original,23206.0,0.0,1398.0,655169.0,0.005,154.0,655169.0,-1.0,23.0,0.0,9662344.0,19.0,101414308.0,1278.0,79.346,79.351,0.0,1554.0,False
300.0,85e6662ca27a07daaf28694bab571b34.param,0.0,0.0,0.0,0.4920000000000001,520201018.0,1674e301c0af134d629636a927395a1d,533835.0,1.0,0.0,80.71300000000002,Original,11661.0,0.0,5953.0,494778.0,0.031,593.0,494778.0,-1.0,59.0,0.0,9735258.0,65.0,520201018.0,1022.0,80.624,80.655,0.02,6548.0,False
300.0,85e6662ca27a07daaf28694bab571b34.param,1.0,0.0,0.0,0.523,520201018.0,1674e301c0af134d629636a927395a1d,533835.0,1.0,0.0,80.492,Original,11661.0,0.0,5953.0,494778.0,0.018000000000000002,593.0,494778.0,-1.0,59.0,0.0,9735258.0,65.0,520201018.0,1022.0,80.417,80.435,0.02,6548.0,False
300.0,85e6662ca27a07daaf28694bab571b34.param,2.0,0.0,0.0,0.52,520201018.0,1674e301c0af134d629636a927395a1d,533835.0,1.0,0.0,81.45,Original,11661.0,0.0,5953.0,494778.0,0.018000000000000002,593.0,494778.0,-1.0,59.0,0.0,9735258.0,65.0,520201018.0,1022.0,81.376,81.39399999999998,0.02,6548.0,False
